interation no:1                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0     513   -1.865627e+00    0.000e+00    1.054e-03
    1    1026   -1.864978e+00    0.000e+00    1.054e-03    6.403e-01
    2    1539   -1.865136e+00    0.000e+00    1.054e-03    1.436e-02
    3    2052   -1.865955e+00    0.000e+00    1.054e-03    6.681e-02
    4    2565   -1.870047e+00    0.000e+00    1.055e-03    3.335e-01
    5    3079   -1.880065e+00    0.000e+00    1.057e-03    8.152e-01
    6    3593   -1.880115e+00    0.000e+00    1.057e-03    4.107e-03
    7    4107   -1.880262e+00    0.000e+00    1.057e-03    1.202e-02
    8    4621   -1.881294e+00    0.000e+00    1.057e-03    8.636e-02
    9    5135   -1.883252e+00    0.000e+00    1.058e-03    1.671e-01
   10    5649   -1.884395e+00    0.000e+00    1.058e-03    9.874e-02
   11    6163   -1.888348e+00    0.000e+00    1.058e-03    3.452e-01
   12    6677   -1.890759e+00    0.000e+00    1.059e-03    2.120e-01
   13    7191   -1.894167e+00    0.000e+00    1.059e-03    3.017e-01
   14    7705   -1.896500e+00    0.000e+00    1.060e-03    2.080e-01
   15    8219   -1.899459e+00    0.000e+00    1.061e-03    2.664e-01
   16    8733   -1.902799e+00    0.000e+00    1.061e-03    3.025e-01
   17    9247   -1.905927e+00    0.000e+00    1.062e-03    2.843e-01
   18    9760   -1.895841e+00    0.000e+00    1.060e-03    9.164e-01
   19   10273   -1.938344e+00    0.000e+00    1.067e-03    3.863e+00
   20   10786   -1.920519e+00    0.000e+00    1.064e-03    1.604e+00
   21   11300   -1.932501e+00    0.000e+00    1.066e-03    1.083e+00
   22   11814   -1.932774e+00    0.000e+00    1.066e-03    2.469e-02
   23   12327   -1.863044e+00    0.000e+00    1.054e-03    6.307e+00
   24   12840   -1.880220e+00    0.000e+00    1.057e-03    1.567e+00
   25   13353   -1.976272e+00    0.000e+00    1.090e-03    8.689e+00
   26   13867   -1.984556e+00    0.000e+00    1.095e-03    7.584e-01
   27   14381   -2.005815e+00    0.000e+00    1.109e-03    1.969e+00
   28   14895   -2.055749e+00    0.000e+00    1.141e-03    4.617e+00
   29   15409   -2.347450e+00    0.000e+00    1.332e-03    2.638e+01
   30   15923   -3.205061e+00    0.000e+00    1.877e-03    7.399e+01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31   16437   -3.604177e+00    0.000e+00    2.088e-03    3.385e+01
   32   16951   -3.886472e+00    0.000e+00    2.202e-03    2.413e+01
   33   17465   -4.482731e+00    0.000e+00    2.586e-03    5.254e+01
   34   17979   -6.229405e+00    0.000e+00    7.786e-03    2.271e+02
   35   18492   -6.345917e+00    0.000e+00    7.083e-03    9.136e+01
   36   19005   -6.352659e+00    0.000e+00    7.369e-03    1.182e+01
   37   19518   -6.360067e+00    0.000e+00    7.598e-03    1.001e+01
   38   20031   -6.374989e+00    0.000e+00    7.844e-03    1.118e+01
   39   20545   -6.375070e+00    0.000e+00    7.844e-03    3.142e-02
   40   21058   -6.383051e+00    0.000e+00    7.874e-03    2.841e-01
   41   21573   -6.383051e+00    0.000e+00    7.874e-03    2.121e-07
   42   22088   -6.416340e+00    0.000e+00    8.077e-03    4.905e+00
   43   22602   -6.431947e+00    0.000e+00    8.137e-03    8.654e-01
   44   23116   -6.505837e+00    0.000e+00    8.385e-03    2.532e+00
   45   23630   -6.523742e+00    0.000e+00    8.399e-03    3.005e+00
   46   24143   -6.657915e+00    0.000e+00    8.507e-03    1.875e+01
   47   24657   -6.682224e+00    0.000e+00    8.517e-03    3.481e+00
   48   25171   -6.748479e+00    0.000e+00    8.547e-03    8.572e+00
   49   25685   -6.749740e+00    0.000e+00    8.545e-03    2.185e-01
   50   26198   -6.823944e+00    0.000e+00    9.364e-03    1.468e+01
   51   26712   -6.845137e+00    0.000e+00    9.793e-03    4.853e+00
